ConcessionariaRodoviakm,Concessionaria,kmmt,Rodovia,Longitude,Latitude
Fernão Dias.MG-BR381.479.4,Fernão Dias,479.4,MG-BR381,-44.04722295,-19.96275862
Fernão Dias.MG-BR381.478.7,Fernão Dias,478.7,MG-BR381,-44.04161914,-19.96306826
Fernão Dias.MG-BR381.492.7,Fernão Dias,492.7,MG-BR381,-44.16656001,-19.96307943
Fernão Dias.MG-BR381.479.3,Fernão Dias,479.3,MG-BR381,-44.04617836,-19.96320467
Fernão Dias.MG-BR381.492.8,Fernão Dias,492.8,MG-BR381,-44.16707377,-19.96321116
Fernão Dias.MG-BR381.478.8,Fernão Dias,478.8,MG-BR381,-44.0420565,-19.96326275
Fernão Dias.MG-BR381.492.9,Fernão Dias,492.9,MG-BR381,-44.16809275,-19.96347243
Fernão Dias.MG-BR381.479.2,Fernão Dias,479.2,MG-BR381,-44.0452142,-19.96361637
Fernão Dias.MG-BR381.493.0,Fernão Dias,493,MG-BR381,-44.16881426,-19.96365743
Fernão Dias.MG-BR381.478.9,Fernão Dias,478.9,MG-BR381,-44.04322795,-19.96378368
Fernão Dias.MG-BR381.479.1,Fernão Dias,479.1,MG-BR381,-44.04462766,-19.96386683
Fernão Dias.MG-BR381.479.0,Fernão Dias,479,MG-BR381,-44.0436186,-19.96395739
Fernão Dias.MG-BR381.493.1,Fernão Dias,493.1,MG-BR381,-44.17019786,-19.96402502
Fernão Dias.MG-BR381.493.2,Fernão Dias,493.2,MG-BR381,-44.17066414,-19.96415098
Fernão Dias.MG-BR381.493.3,Fernão Dias,493.3,MG-BR381,-44.17185833,-19.9644736
Fernão Dias.MG-BR381.493.4,Fernão Dias,493.4,MG-BR381,-44.17299614,-19.96478098
Fernão Dias.MG-BR381.493.5,Fernão Dias,493.5,MG-BR381,-44.173929,-19.965033
Fernão Dias.MG-BR381.493.6,Fernão Dias,493.6,MG-BR381,-44.17486186,-19.96528502
Fernão Dias.MG-BR381.493.7,Fernão Dias,493.7,MG-BR381,-44.17579471,-19.96553703
Fernão Dias.MG-BR381.493.8,Fernão Dias,493.8,MG-BR381,-44.17672729,-19.96578897
Fernão Dias.MG-BR381.493.9,Fernão Dias,493.9,MG-BR381,-44.17766014,-19.96604098
