concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 4";"Comercial";40312.00;3.00;120936.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 5";"Passeio";169.00;2.00;338.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 5";"Passeio";149.00;2.00;298.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 6";"Comercial";10046.00;4.00;40184.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 6";"Comercial";10198.00;4.00;40792.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 7";"Comercial";21703.00;5.00;108515.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 7";"Comercial";21942.00;5.00;109710.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 8";"Comercial";35830.00;6.00;214980.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 8";"Comercial";35137.00;6.00;210822.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 9";"Moto";2696.00;0.50;1348.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Categoria 9";"Moto";2269.00;0.50;1134.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Outros";"Comercial";11051.00;6.00;66306.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 05 BR-381/MG km 733,74";"N/I";"Outros";"Comercial";10745.00;6.00;64470.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";176837.00;1.00;176837.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 1";"Passeio";131007.00;1.00;131007.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 2";"Comercial";14302.00;2.00;28604.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 2";"Comercial";14597.00;2.00;29194.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 3";"Passeio";1082.00;1.50;1623.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 3";"Passeio";892.00;1.50;1338.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 4";"Comercial";34022.00;3.00;102066.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 4";"Comercial";35641.00;3.00;106923.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 5";"Passeio";148.00;2.00;296.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 5";"Passeio";138.00;2.00;276.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 6";"Comercial";9366.00;4.00;37464.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 6";"Comercial";9113.00;4.00;36452.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 7";"Comercial";19170.00;5.00;95850.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 7";"Comercial";19945.00;5.00;99725.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 8";"Comercial";25127.00;6.00;150762.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 8";"Comercial";28002.00;6.00;168012.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 9";"Moto";2663.00;0.50;1331.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Categoria 9";"Moto";2390.00;0.50;1195.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 06 BR-381/MG km 659";"N/I";"Outros";"Comercial";6740.00;6.00;40440.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 06 BR-381/MG km 659";"N/I";"Outros";"Comercial";6729.00;6.00;40374.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 1";"Passeio";179479.00;1.00;179479.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 1";"Passeio";135696.00;1.00;135696.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 2";"Comercial";14163.00;2.00;28326.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 2";"Comercial";14615.00;2.00;29230.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 3";"Passeio";1073.00;1.50;1609.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 3";"Passeio";899.00;1.50;1348.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 4";"Comercial";33039.00;3.00;99117.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 4";"Comercial";34345.00;3.00;103035.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 5";"Passeio";129.00;2.00;258.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 5";"Passeio";130.00;2.00;260.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 6";"Comercial";9261.00;4.00;37044.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 6";"Comercial";8977.00;4.00;35908.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 7";"Comercial";18975.00;5.00;94875.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 7";"Comercial";19498.00;5.00;97490.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 8";"Comercial";24376.00;6.00;146256.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 8";"Comercial";26810.00;6.00;160860.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 9";"Moto";4030.00;0.50;2015.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Categoria 9";"Moto";3508.00;0.50;1754.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Outros";"Comercial";6454.00;6.00;38724.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 07 BR-381/MG km 596,935";"N/I";"Outros";"Comercial";6639.00;6.00;39834.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 1";"Passeio";206066.00;1.00;206066.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 1";"Passeio";165616.00;1.00;165616.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 2";"Comercial";16449.00;2.00;32898.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 2";"Comercial";17078.00;2.00;34156.00
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 3";"Passeio";1227.00;1.50;1840.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Decrescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 3";"Passeio";1085.00;1.50;1627.50
"AUTOPISTA FERNÃO DIAS";"01/01/2015";"Crescente";"Praça 08 BR-381/MG km 546";"N/I";"Categoria 4";"Comercial";34302.00;3.00;102906.00
